target_definition,model,mapping,domain,weighting,metric,n_repeats,mean,sd,min,q25,median,q75,max
survey_year_adjusted_50000,logistic_regression,raw,ood_test,unweighted,hcep_080,10,0.06555866666666667,0.0009476458160054295,0.06412,0.06482,0.06572666666666666,0.06632,0.06668
survey_year_adjusted_50000,logistic_regression,raw,ood_test,unweighted,hcep_090,10,0.027323999999999998,0.0006173795679030832,0.026146666666666665,0.02700333333333333,0.027213333333333332,0.027733333333333332,0.0282
survey_year_adjusted_50000,logistic_regression,raw,ood_test,unweighted,hcep_095,10,0.010152,0.000527493958774136,0.009173333333333334,0.00984,0.0101,0.010583333333333333,0.010813333333333333
survey_year_adjusted_50000,logistic_regression,raw,ood_test,unweighted,aurc,10,0.10743544699862054,0.0005040973621901837,0.106488714768177,0.10726629349183696,0.10750878263314785,0.10774349703706318,0.10818475566127803
survey_year_adjusted_50000,logistic_regression,raw,ood_test,unweighted,excess_aurc,10,0.08061729904203466,0.0004634768844986877,0.07966844410827964,0.08061218704779573,0.0806978017554078,0.08082316403506912,0.08117959872841937
unadjusted_reported_income_50000,lightgbm,isotonic,id_test,survey_weighted,prevalence,10,0.35622530997097845,0.0022285961099173988,0.35325594153366924,0.35527135551426514,0.35575865932046874,0.35751116684851947,0.36012023744815125
unadjusted_reported_income_50000,lightgbm,isotonic,id_test,survey_weighted,auroc,10,0.8867490238280565,0.0014912681370446218,0.8843866059064394,0.8857995544147552,0.886900736947094,0.8880518958275587,0.8885078328931346
unadjusted_reported_income_50000,lightgbm,isotonic,id_test,survey_weighted,average_precision,10,0.799998257236128,0.003321076192213018,0.7954169646299063,0.7986218815352916,0.7991267374057003,0.8020013907708015,0.8053015012495544
unadjusted_reported_income_50000,lightgbm,isotonic,id_test,survey_weighted,pr_skill,10,0.6893339020481777,0.004746620990067189,0.6822407164408981,0.6868698792444472,0.6890858493103866,0.6911499480043478,0.6973957875639957
unadjusted_reported_income_50000,lightgbm,isotonic,id_test,survey_weighted,brier,10,0.12977197737876023,0.0009561890009350177,0.12888188964284134,0.1290131205645701,0.12937840679063378,0.1306684960908416,0.13121454735658225
unadjusted_reported_income_50000,lightgbm,isotonic,id_test,survey_weighted,log_loss,10,0.4030106376693956,0.00275572446252242,0.3992337700885112,0.40120865047522764,0.4026836208522315,0.4039552542725872,0.408210268559042
unadjusted_reported_income_50000,lightgbm,isotonic,id_test,survey_weighted,ece,10,0.013790022225112017,0.0027973541674432135,0.01025903173982613,0.011049518551025723,0.01429263143843066,0.015688579974084155,0.017669349191060495
unadjusted_reported_income_50000,lightgbm,isotonic,id_test,survey_weighted,calibration_intercept,10,-0.01906458908522249,0.01923614108708086,-0.04020725448290356,-0.03178353653648818,-0.023759642336677326,-0.013330975916240629,0.024225467517548355
unadjusted_reported_income_50000,lightgbm,isotonic,id_test,survey_weighted,calibration_slope,10,0.9781683675838506,0.028939762135455835,0.9373068943979451,0.9606093929494721,0.9719250790237439,0.9934365227221027,1.0382462763389606
unadjusted_reported_income_50000,lightgbm,isotonic,id_test,survey_weighted,hcep_080,10,0.04036226795875934,0.005269924395099244,0.03248877552241777,0.035977319286898124,0.0414003046218529,0.04427890486929029,0.04712123507561437
unadjusted_reported_income_50000,lightgbm,isotonic,id_test,survey_weighted,hcep_090,10,0.016258724921857478,0.0042551994002234415,0.009492629245167613,0.013050756359198652,0.01759514594329339,0.019425316427477947,0.02214526433441939
unadjusted_reported_income_50000,lightgbm,isotonic,id_test,survey_weighted,hcep_095,10,0.004768846133641461,0.001938478434384411,0.001993868318933173,0.003351307542483528,0.004543705291311465,0.005961630092612159,0.008626610707334406
